Date,FCAU,GM,HMC,RACE,TM,TSLA,VLVLY
2019-01-02,12.355086326599121,32.28242874145508,25.483348846435547,97.880859375,114.74165344238281,310.1199951171875,11.992154121398926
2019-01-03,12.1654052734375,30.948524475097656,25.13690185546875,96.17514038085938,113.13321685791016,300.3599853515625,11.735113143920898
2019-01-04,12.924126625061035,31.98493766784668,26.282108306884766,101.3815689086914,118.14601135253906,317.69000244140625,12.40809440612793
2019-01-07,13.087942123413086,32.97337341308594,26.77291488647461,103.6128921508789,119.67550659179688,334.9599914550781,12.384726524353027
2019-01-08,13.22589111328125,33.405216217041016,27.40807342529297,107.67886352539062,120.69187927246094,335.3500061035156,12.735238075256348
2019-01-09,13.596630096435547,33.76028060913086,27.619792938232422,110.26720428466797,121.29380798339844,338.5299987792969,12.786646842956543
2019-01-10,13.803553581237793,33.32844161987305,27.79301643371582,109.87052154541016,122.84303283691406,344.9700012207031,12.744585037231445
2019-01-11,14.019099235534668,35.679569244384766,28.168338775634766,109.92010498046875,123.41536712646484,347.260009765625,12.632421493530273
2019-01-14,13.932881355285645,36.14019775390625,28.32231903076172,109.95977020263672,123.73113250732422,334.3999938964844,12.524930953979492
2019-01-15,14.17429256439209,36.034637451171875,28.331941604614258,111.43740844726562,124.60935974121094,344.42999267578125,12.651115417480469
2019-01-16,14.243268013000488,36.1497917175293,28.39930534362793,112.19110107421875,123.99756622314453,346.04998779296875,12.683829307556152
2019-01-17,14.329485893249512,36.715980529785156,28.428178787231445,112.76628875732422,123.26734924316406,347.30999755859375,12.674483299255371
2019-01-18,14.467435836791992,37.05186080932617,28.639896392822266,112.34977722167969,123.69165802001953,302.260009765625,12.940871238708496
2019-01-22,14.226022720336914,36.61042404174805,28.39930534362793,110.76305389404297,121.96481323242188,298.9200134277344,12.595033645629883
2019-01-23,14.036343574523926,36.1497917175293,28.197208404541016,109.28541564941406,120.84976196289062,287.5899963378906,12.506237983703613
2019-01-24,14.217401504516602,36.62002182006836,28.5244140625,111.45724487304688,121.20500183105469,291.510009765625,12.410898208618164
2019-01-25,14.432948112487793,37.08064651489258,28.880489349365234,110.31678771972656,122.0832290649414,297.0400085449219,12.889463424682617
2019-01-28,14.363972663879395,36.90790939331055,28.765003204345703,109.50359344482422,120.85963439941406,296.3800048828125,12.861422538757324
2019-01-29,14.381217002868652,36.917510986328125,28.639896392822266,109.63251495361328,120.65240478515625,297.4599914550781,13.034340858459473
2019-01-30,14.717467308044434,37.51249313354492,28.890111923217773,111.75475311279297,121.41222381591797,308.7699890136719,13.225953102111816
2019-01-31,14.838172912597656,37.4453125,28.9382266998291,125.25180053710938,121.54049682617188,307.0199890136719,13.492342948913574
2019-02-01,14.795064926147461,37.214996337890625,28.033607482910156,126.07490539550781,120.38597869873047,312.2099914550781,13.44560718536377
2019-02-04,14.760578155517578,37.35894775390625,27.350332260131836,126.1641616821289,121.27407836914062,312.8900146484375,13.459627151489258
2019-02-05,14.933013916015625,37.71401596069336,26.975011825561523,126.22366333007812,121.83653259277344,321.3500061035156,13.426913261413574
2019-02-06,14.958880424499512,38.29939270019531,26.484207153320312,125.90631866455078,119.44855499267578,317.2200012207031,13.389525413513184
2019-02-07,13.131050109863281,37.090248107910156,25.9934024810791,123.55598449707031,116.54744720458984,307.510009765625,13.039013862609863
2019-02-08,12.872396469116211,37.13822555541992,25.752811431884766,123.24856567382812,115.75802612304688,305.79998779296875,12.9876070022583
2019-02-11,12.553388595581055,37.0710563659668,25.646947860717773,122.47503662109375,115.60014343261719,312.8399963378906,12.954891204833984
2019-02-12,12.674094200134277,37.45490646362305,25.87791633605957,125.39064025878906,118.19535064697266,311.80999755859375,13.296056747436523
2019-02-13,12.64822769165039,37.42612075805664,26.00302505493164,124.21051025390625,118.04733276367188,308.1700134277344,13.272687911987305
2019-02-14,12.64822769165039,37.320560455322266,26.291732788085938,124.02208709716797,117.67236328125,303.7699890136719,13.3240966796875
2019-02-15,12.725825309753418,37.51249313354492,26.339853286743164,124.93445587158203,119.54722595214844,307.8800048828125,13.613852500915527
2019-02-19,12.786177635192871,37.934730529785156,26.5226993560791,125.32122039794922,119.88272857666016,305.6400146484375,13.48299503326416
2019-02-20,12.967235565185547,38.3377799987793,26.570819854736328,124.7261962890625,121.16552734375,302.55999755859375,13.819485664367676
2019-02-21,12.751689910888672,38.02109909057617,26.68630027770996,125.25180053710938,119.63603210449219,291.2300109863281,13.6933012008667
2019-02-22,12.751689910888672,38.37616729736328,27.1097412109375,124.98403930664062,120.20835876464844,294.7099914550781,13.828832626342773
2019-02-25,12.898262023925781,38.52011489868164,27.321460723876953,126.97734832763672,120.79055786132812,298.7699890136719,13.838180541992188
2019-02-26,12.699958801269531,38.49132537841797,27.43694496154785,127.9789810180664,121.5997085571289,297.8599853515625,13.880241394042969
2019-02-27,12.786177635192871,38.385765075683594,27.37920379638672,127.60212707519531,120.70174407958984,314.739990234375,13.73068904876709
2019-02-28,12.699958801269531,37.886749267578125,27.205976486206055,127.19552612304688,119.43868255615234,319.8800048828125,13.688629150390625
2019-03-01,12.725825309753418,37.934730529785156,27.2829647064209,130.70616149902344,118.74794006347656,294.7900085449219,13.763404846191406
2019-03-04,12.493034362792969,37.66603088378906,26.657432556152344,129.71446228027344,116.85334014892578,285.3599853515625,13.782097816467285
2019-03-05,12.639606475830078,37.694820404052734,26.56119728088379,130.66647338867188,116.69546508789062,276.5400085449219,13.810138702392578
2019-03-06,13.079319953918457,37.10943603515625,26.599687576293945,129.03018188476562,116.4191665649414,276.239990234375,13.627873420715332
