Date,TSLA,GM,F,DODGX
2016-02-22,177.74000549316406,24.753446578979492,10.040337562561035,108.34981536865234
2016-02-23,177.2100067138672,24.544593811035156,9.928421974182129,106.53992462158203
2016-02-24,179.0,24.093463897705078,9.656630516052246,107.03350830078125
2016-02-25,187.42999267578125,24.64484214782715,9.904438972473145,108.11375427246094
2016-02-26,190.33999633789062,24.753446578979492,9.968390464782715,108.7790298461914
2016-02-29,191.92999267578125,24.594715118408203,10.0003662109375,107.70597076416016
2016-03-01,186.35000610351562,25.070911407470703,10.464012145996094,110.44585418701172
2016-03-02,188.33999633789062,25.187862396240234,10.5679349899292,111.39014434814453
2016-03-03,195.74000549316406,25.956445693969727,10.823739051818848,112.10551452636719
2016-03-04,201.0399932861328,26.207077026367188,10.86370849609375,112.63485717773438
2016-03-07,205.2899932861328,26.390869140625,10.887687683105469,113.36455535888672
2016-03-08,202.60000610351562,25.630638122558594,10.575926780700684,111.24706268310547
2016-03-09,208.72000122070312,25.833650588989258,10.543951034545898,111.89087677001953
2016-03-10,205.17999267578125,26.07050132751465,10.511975288391113,111.96958923339844
2016-03-11,207.5,26.44269561767578,10.62389087677002,114.55207061767578
2016-03-14,215.14999389648438,26.375028610229492,10.607903480529785,114.07278442382812
2016-03-15,218.33999633789062,26.26505470275879,10.575926780700684,113.67215728759766
2016-03-16,221.92999267578125,26.806434631347656,10.79176139831543,114.22299194335938
2016-03-17,226.3800048828125,27.034822463989258,10.767780303955078,115.09574890136719
2016-03-18,232.74000549316406,27.034822463989258,10.903675079345703,115.72527313232422
2016-03-21,238.32000732421875,27.136335372924805,10.91966438293457,115.93274688720703
2016-03-22,234.24000549316406,26.98406982421875,10.86370849609375,115.68236541748047
2016-03-23,222.5800018310547,26.484989166259766,10.599909782409668,114.57196807861328
2016-03-24,227.75,26.188926696777344,10.440032005310059,114.35195922851562
2016-03-28,230.25999450683594,26.23967933654785,10.464012145996094,114.30061340332031
2016-03-29,230.1300048828125,26.383485794067383,10.551946640014648,114.81401062011719
2016-03-30,226.88999938964844,26.21430206298828,10.671854019165039,115.45938110351562
2016-03-31,229.77000427246094,26.58650016784668,10.79176139831543,115.2613754272461
2016-04-01,237.58999633789062,25.77443504333496,10.472006797790527,115.7894058227539
2016-04-04,246.99000549316406,25.29227638244629,10.23219108581543,115.47404479980469
2016-04-05,255.47000122070312,25.038509368896484,10.208208084106445,113.94857025146484
2016-04-06,265.4200134277344,25.326112747192383,10.248178482055664,115.48872375488281
2016-04-07,257.20001220703125,24.886247634887695,10.008359909057617,113.63321685791016
2016-04-08,250.07000732421875,24.84395408630371,10.032341003417969,114.06591796875
2016-04-11,249.9199981689453,24.97929573059082,10.120274543762207,113.93391418457031
2016-04-12,247.82000732421875,25.131555557250977,10.24018383026123,115.04136657714844
2016-04-13,254.52999877929688,26.036664962768555,10.440032005310059,117.12420654296875
2016-04-14,251.86000061035156,25.985912322998047,10.464012145996094,117.33688354492188
2016-04-15,254.50999450683594,25.85057258605957,10.34410572052002,116.99220275878906
2016-04-18,253.8800048828125,26.484989166259766,10.59191608428955,118.0116195678711
2016-04-19,247.3699951171875,27.043277740478516,10.74379825592041,118.89904022216797
2016-04-20,249.97000122070312,27.229379653930664,10.903675079345703,119.7644271850586
2016-04-21,248.2899932861328,27.626951217651367,10.911670684814453,119.67646026611328
2016-04-22,253.75,27.22092056274414,10.879694938659668,120.04315185546875
2016-04-25,251.82000732421875,27.02635955810547,10.855710983276367,119.66181182861328
2016-04-26,253.74000549316406,27.229379653930664,10.991609573364258,120.0651626586914
2016-04-27,251.47000122070312,27.203998565673828,11.0401029586792,120.27049255371094
2016-04-28,247.7100067138672,27.44085121154785,11.387632369995117,118.86237335205078
2016-04-29,240.75999450683594,26.89948081970215,10.959280967712402,117.70361328125
2016-05-02,241.8000030517578,26.85718536376953,11.007774353027344,118.42967224121094
2016-05-03,232.32000732421875,26.434234619140625,10.854215621948242,116.60350036621094
2016-05-04,222.55999755859375,25.875946044921875,10.757229804992676,115.2467041015625
2016-05-05,211.52999877929688,25.833650588989258,10.765313148498535,114.96070861816406
2016-05-06,214.92999267578125,26.188926696777344,10.862296104431152,115.18802642822266
2016-05-09,208.9199981689453,26.036664962768555,10.765313148498535,114.95333099365234
2016-05-10,208.69000244140625,26.51882553100586,10.902708053588867,116.6255111694336
2016-05-11,208.9600067138672,26.29043197631836,10.765313148498535,115.81140899658203
2016-05-12,207.27999877929688,26.375028610229492,10.789559364318848,115.39335632324219
2016-05-13,207.61000061035156,25.816734313964844,10.684492111206055,114.37396240234375
2016-05-16,208.2899932861328,25.943618774414062,10.765313148498535,115.38605499267578
2016-05-17,204.66000366210938,25.9097843170166,10.619836807250977,114.91667938232422
2016-05-18,211.1699981689453,26.011289596557617,10.635998725891113,115.6207275390625
2016-05-19,215.2100067138672,25.647554397583008,10.579426765441895,115.2467041015625
2016-05-20,220.27999877929688,25.859027862548828,10.660244941711426,116.5374984741211
2016-05-23,216.22000122070312,25.875946044921875,10.611754417419434,116.22213745117188
2016-05-24,217.91000366210938,26.26505470275879,10.74106502532959,117.79894256591797
2016-05-25,219.5800018310547,26.77259635925293,10.926952362060547,119.47108459472656
2016-05-26,225.1199951171875,26.46807289123535,10.878461837768555,119.28041076660156
2016-05-27,223.0399932861328,26.55266571044922,10.870379447937012,120.29251098632812
2016-05-31,223.22999572753906,26.45961570739746,10.902708053588867,120.39518737792969
2016-06-01,219.55999755859375,25.562963485717773,10.595588684082031,120.6298599243164
